Kingdom	Phylum	Class	Order	Family	Genus	Species	1_11O	2_11P	3_11Q	4_11S	5_11T	6_11U	7_11W	8_11Y	9_11Z	10_12O	11_12P	12_12R	13_12S	14_12T	15_12U	16_12V	17_12W	18_12Y	19_12X	20_12Z	21_9K	22_9L	23_9M	24_9N	25_9O	26_9P	27_9Q	28_9R	29_9S	30_9T	31_9V	32_11O	33_11P	34_11Q	35_11S	36_11T	37_11U	38_11W	39_11Y	40_11Z	41_12O	42_12P	43_12R	44_12S	45_12T	46_12U	47_12V	48_12W	49_12Y	50_12X	51_12Z	52_9K	53_9L	54_9M	55_9N	56_9O	57_9P	58_9Q	59_9R	60_9S	61_9T	62_9V
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillibacter	g__Oscillibacter_s	27.0	11.0	10.0	35.0	22.0	20.0	1.0	2.0	53.0	61.0	157.0	80.0	76.0	289.0	3.0	111.0	52.0	106.0	44.0	10.0	37.0	39.0	104.0	32.0	4.0	52.0	20.0	10.0	21.0	20.0	5.0	2.0	1.0	4.0	25.0	38.0	0.0	5.0	18.0	48.0	94.0	4.0	46.0	123.0	233.0	114.0	76.0	211.0	171.0	57.0	51.0	350.0	36.0	193.0	49.0	81.0	39.0	96.0	419.0	378.0	150.0	89.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	g__Oscillospira_s	202.0	68.0	19.0	91.0	62.0	87.0	100.0	87.0	267.0	585.0	383.0	296.0	459.0	363.0	78.0	211.0	497.0	292.0	307.0	211.0	51.0	169.0	282.0	101.0	46.0	343.0	71.0	63.0	336.0	58.0	244.0	14.0	24.0	85.0	121.0	142.0	0.0	183.0	153.0	302.0	501.0	69.0	193.0	309.0	664.0	251.0	346.0	331.0	259.0	159.0	132.0	303.0	93.0	321.0	93.0	183.0	105.0	89.0	198.0	362.0	271.0	244.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	g__Ruminococcus_s	95.0	150.0	18.0	182.0	68.0	24.0	98.0	11.0	34.0	92.0	62.0	60.0	63.0	65.0	77.0	38.0	75.0	66.0	62.0	30.0	15.0	20.0	56.0	34.0	71.0	63.0	49.0	51.0	90.0	129.0	35.0	53.0	44.0	9.0	30.0	188.0	4.0	199.0	59.0	140.0	61.0	9.0	42.0	69.0	62.0	55.0	68.0	65.0	71.0	20.0	19.0	66.0	23.0	75.0	229.0	108.0	57.0	97.0	19.0	69.0	64.0	65.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Mogibacteriaceae]	f__[Mogibacteriaceae]_g_	f__[Mogibacteriaceae]_g_s	0.0	0.0	10.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	4.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	4.0	1.0	2.0	4.0	9.0	1.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	3.0	2.0	1.0	1.0	4.0	0.0	3.0	0.0	2.0	3.0	0.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Mogibacteriaceae]	g__Anaerovorax	g__Anaerovorax_s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	3.0	1.0	0.0
k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	f__Erysipelotrichaceae_g_	f__Erysipelotrichaceae_g_s	11.0	5.0	21.0	5.0	8.0	1.0	24.0	1.0	1.0	5.0	12.0	3.0	24.0	15.0	4.0	0.0	1.0	11.0	6.0	3.0	4.0	8.0	7.0	7.0	2.0	3.0	2.0	1.0	5.0	4.0	4.0	3.0	5.0	0.0	2.0	17.0	0.0	1.0	4.0	5.0	4.0	0.0	9.0	0.0	7.0	0.0	0.0	1.0	0.0	3.0	2.0	3.0	18.0	8.0	32.0	9.0	7.0	71.0	169.0	7.0	12.0	14.0
k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Allobaculum	g__Allobaculum_s	0.0	0.0	12.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0	56.0	0.0	4.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	1.0	4.0	0.0	6.0	2.0	0.0	5.0	0.0	0.0	0.0	8.0	2.0	0.0	4.0	42.0	3.0	2.0	7.0	78.0	154.0	20.0	0.0	57.0	6.0	45.0	63.0	90.0	133.0	0.0	0.0	0.0	108.0	1.0	0.0	300.0	0.0	4.0	94.0	33.0
k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Coprobacillus	g__Coprobacillus_s	9.0	5.0	1.0	1.0	3.0	0.0	1.0	4.0	0.0	0.0	0.0	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	3.0	3.0	0.0	0.0	9.0	0.0	0.0	1.0	0.0	7.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	7.0	0.0	3.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	f__mitochondria_g_	f__mitochondria_g_s	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Delftia	g__Delftia_s	5.0	0.0	1.0	1.0	0.0	5.0	2.0	4.0	1.0	5.0	1.0	1.0	2.0	4.0	4.0	3.0	1.0	1.0	3.0	0.0	3.0	3.0	1.0	5.0	2.0	2.0	4.0	2.0	2.0	1.0	3.0	2.0	0.0	2.0	1.0	8.0	5.0	2.0	1.0	2.0	2.0	9.0	7.0	8.0	2.0	6.0	4.0	12.0	5.0	7.0	4.0	6.0	9.0	10.0	14.0	7.0	6.0	12.0	6.0	8.0	13.0	7.0
k__Bacteria	p__TM7	c__TM7-3	o__CW040	f__F16	f__F16_g_	f__F16_g_s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	p__Tenericutes	c__Mollicutes	o__Anaeroplasmatales	f__Anaeroplasmataceae	g__Anaeroplasma	g__Anaeroplasma_s	20.0	30.0	0.0	20.0	17.0	9.0	8.0	29.0	18.0	3.0	0.0	4.0	0.0	0.0	24.0	47.0	0.0	20.0	3.0	26.0	10.0	26.0	1.0	2.0	2.0	1.0	23.0	19.0	2.0	2.0	6.0	2.0	3.0	8.0	41.0	12.0	1.0	59.0	21.0	2.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	8.0	24.0	0.0	0.0	0.0	0.0	7.0
k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Akkermansia	s__muciniphila	0.0	1.0	3.0	380.0	294.0	2.0	668.0	170.0	29.0	0.0	0.0	609.0	366.0	1.0	330.0	5.0	31.0	100.0	31.0	58.0	0.0	0.0	0.0	0.0	401.0	150.0	47.0	108.0	1.0	245.0	45.0	5.0	139.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	14.0	0.0	203.0	374.0	24.0	0.0	2.0	203.0	48.0	204.0	433.0	323.0	438.0	103.0	1.0	268.0	160.0	967.0	10.0	9.0	68.0
