Kingdom	Phylum	Class	Order	Family	Genus	Species	1_11O	2_11P	3_11Q	4_11S	5_11T	6_11U	7_11W	8_11Y	9_11Z	10_12O	11_12P	12_12R	13_12S	14_12T	15_12U	16_12V	17_12W	18_12Y	19_12X	20_12Z	21_9K	22_9L	23_9M	24_9N	25_9O	26_9P	27_9Q	28_9R	29_9S	30_9T	31_9V	32_11O	33_11P	34_11Q	35_11S	36_11T	37_11U	38_11W	39_11Y	40_11Z	41_12O	42_12P	43_12R	44_12S	45_12T	46_12U	47_12V	48_12W	49_12Y	50_12X	51_12Z	52_9K	53_9L	54_9M	55_9N	56_9O	57_9P	58_9Q	59_9R	60_9S	61_9T	62_9V
k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	g__Lactobacillus_s	740.0	897.0	1057.0	90.0	984.0	1787.0	43.0	506.0	105.0	516.0	7.0	102.0	84.0	917.0	649.0	649.0	187.0	371.0	327.0	154.0	1454.0	447.0	74.0	1237.0	1164.0	1254.0	1049.0	1332.0	596.0	1126.0	547.0	2248.0	1684.0	1530.0	1518.0	262.0	1554.0	167.0	468.0	367.0	70.0	1704.0	729.0	875.0	2.0	542.0	72.0	978.0	916.0	1664.0	1752.0	8.0	1281.0	108.0	344.0	272.0	322.0	215.0	0.0	1.0	233.0	230.0
k__Bacteria	p__Firmicutes	c__Bacilli	o__Turicibacterales	f__Turicibacteraceae	g__Turicibacter	g__Turicibacter_s	20.0	159.0	119.0	0.0	1.0	6.0	372.0	16.0	28.0	100.0	131.0	70.0	17.0	0.0	66.0	1.0	40.0	51.0	61.0	66.0	44.0	152.0	38.0	145.0	33.0	81.0	8.0	33.0	1.0	1.0	0.0	7.0	18.0	113.0	5.0	171.0	331.0	81.0	80.0	191.0	18.0	13.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	5.0	163.0	38.0	1.0	60.0	1.0	1.0	8.0	0.0	40.0	172.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	o__Clostridiales_f_	o__Clostridiales_f_g_	o__Clostridiales_f_g_s	3.0	1.0	4.0	1.0	2.0	2.0	1.0	3.0	4.0	10.0	5.0	1.0	0.0	0.0	7.0	6.0	1.0	4.0	4.0	0.0	1.0	1.0	0.0	5.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	0.0	1.0	4.0	0.0	11.0	0.0	1.0	6.0	18.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	2.0	4.0	0.0	3.0	0.0	0.0	0.0	2.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	o__Clostridiales_f_	o__Clostridiales_f_g_	o__Clostridiales_f_g_s	645.0	559.0	531.0	988.0	842.0	423.0	552.0	630.0	1547.0	634.0	836.0	778.0	612.0	532.0	478.0	754.0	1077.0	1036.0	930.0	1207.0	719.0	771.0	1539.0	509.0	536.0	322.0	377.0	419.0	1054.0	639.0	1059.0	529.0	509.0	312.0	874.0	669.0	68.0	890.0	708.0	927.0	1285.0	224.0	866.0	644.0	785.0	1086.0	1640.0	889.0	504.0	215.0	195.0	936.0	277.0	780.0	374.0	912.0	1202.0	340.0	630.0	1528.0	677.0	594.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Christensenellaceae	f__Christensenellaceae_g_	f__Christensenellaceae_g_s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	8.0	3.0	2.0	4.0	0.0	19.0	7.0	4.0	5.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	f__Clostridiaceae_g_	f__Clostridiaceae_g_s	5.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	3.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	f__Clostridiaceae_g_	f__Clostridiaceae_g_s	175.0	134.0	3.0	3.0	4.0	2.0	141.0	111.0	22.0	147.0	152.0	26.0	401.0	17.0	254.0	29.0	10.0	166.0	6.0	186.0	87.0	318.0	25.0	82.0	237.0	38.0	3.0	119.0	1.0	6.0	1.0	22.0	48.0	138.0	0.0	12.0	0.0	43.0	126.0	144.0	117.0	41.0	70.0	24.0	2.0	12.0	80.0	11.0	17.0	31.0	39.0	46.0	188.0	73.0	33.0	17.0	13.0	26.0	80.0	10.0	21.0	10.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	g__Clostridium_s	0.0	0.0	7.0	2.0	4.0	1.0	99.0	26.0	23.0	0.0	0.0	1.0	6.0	0.0	44.0	0.0	3.0	26.0	3.0	25.0	0.0	0.0	5.0	2.0	4.0	1.0	11.0	9.0	12.0	2.0	40.0	0.0	0.0	38.0	0.0	7.0	1.0	0.0	37.0	1.0	24.0	2.0	13.0	0.0	15.0	0.0	30.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0	6.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Dehalobacteriaceae	g__Dehalobacterium	g__Dehalobacterium_s	2.0	0.0	0.0	2.0	1.0	1.0	0.0	3.0	3.0	1.0	1.0	3.0	2.0	1.0	1.0	2.0	1.0	1.0	0.0	0.0	0.0	3.0	2.0	0.0	1.0	2.0	1.0	0.0	2.0	1.0	7.0	1.0	0.0	0.0	2.0	2.0	0.0	3.0	3.0	1.0	6.0	0.0	1.0	4.0	1.0	2.0	0.0	2.0	5.0	3.0	0.0	0.0	1.0	2.0	1.0	3.0	2.0	0.0	0.0	2.0	1.0	1.0
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	f__Lachnospiraceae_g_	f__Lachnospiraceae_g_s	0.0	0.0	2.0	6.0	3.0	1.0	6.0	0.0	2.0	2.0	0.0	8.0	3.0	3.0	1.0	1.0	6.0	8.0	4.0	2.0	0.0	1.0	3.0	4.0	1.0	2.0	1.0	2.0	4.0	4.0	7.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	6.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	2.0	2.0	3.0	5.0	2.0	6.0	0.0	1.0
