Genera	AM-AD-1-RITA	AM-AD-1-SMASH	AM-AD-2-RITA	AM-AD-2-SMASH	AM-F10-T1-RITA	AM-F10-T1-SMASH	AM-F10-T2-RITA	AM-F10-T2-SMASH	DA-AD-1-RITA	DA-AD-1-SMASH	DA-AD-1T-RITA	DA-AD-1T-SMASH	DA-AD-2-RITA	DA-AD-2-SMASH	DA-AD-3-RITA	DA-AD-3-SMASH	DA-AD-3T-RITA	DA-AD-3T-SMASH	DA-AD-4-RITA	DA-AD-4-SMASH	ES-AD-1-RITA	ES-AD-1-SMASH	ES-AD-2-RITA	ES-AD-2-SMASH	ES-AD-3-RITA	ES-AD-3-SMASH	ES-AD-4-RITA	ES-AD-4-SMASH	FR-AD-1-RITA	FR-AD-1-SMASH	FR-AD-2-RITA	FR-AD-2-SMASH	FR-AD-3-RITA	FR-AD-3-SMASH	FR-AD-4-RITA	FR-AD-4-SMASH	FR-AD-5-RITA	FR-AD-5-SMASH	FR-AD-6-RITA	FR-AD-6-SMASH	FR-AD-7-RITA	FR-AD-7-SMASH	FR-AD-8-RITA	FR-AD-8-SMASH	IT-AD-1-RITA	IT-AD-1-SMASH	IT-AD-2-RITA	IT-AD-2-SMASH	IT-AD-3-RITA	IT-AD-3-SMASH	IT-AD-4-RITA	IT-AD-4-SMASH	IT-AD-5-RITA	IT-AD-5-SMASH	IT-AD-6-RITA	IT-AD-6-SMASH	JP-AD-1-RITA	JP-AD-1-SMASH	JP-AD-2-RITA	JP-AD-2-SMASH	JP-AD-3-RITA	JP-AD-3-SMASH	JP-AD-4-RITA	JP-AD-4-SMASH	JP-AD-5-RITA	JP-AD-5-SMASH	JP-AD-6-RITA	JP-AD-6-SMASH	JP-AD-7-RITA	JP-AD-7-SMASH	JP-AD-8-RITA	JP-AD-8-SMASH	JP-AD-9-RITA	JP-AD-9-SMASH	JP-IN-1-RITA	JP-IN-1-SMASH	JP-IN-2-RITA	JP-IN-2-SMASH	JP-IN-3-RITA	JP-IN-3-SMASH	JP-IN-4-RITA	JP-IN-4-SMASH
Actinobacillus	3.10E-05	0	4.03E-05	0	8.04E-06	0	1.38E-05	0	0.000201994	0.00007525	7.95E-05	0.00000063	8.90E-06	0	3.90E-05	0	3.14E-05	0	4.87E-05	0	2.23E-05	0	2.19E-05	0	1.69E-05	0	3.05E-05	0.00001274	2.40E-05	0	3.53E-05	0.00002531	8.63E-06	0	5.82E-05	0	3.85E-05	0	8.45E-06	0	2.57E-05	0	4.44E-05	0	3.44E-05	0	0	0	8.57E-06	0	0.000136896	0.00003893	7.62E-05	0.00004894	5.17E-05	0	1.28E-05	0	7.48E-05	0.00003442	3.77E-05	0	1.27E-05	0	2.51E-05	0	1.26E-05	0	0	0	1.25E-05	0	3.70E-05	0	1.25E-05	0	1.25E-05	0	0	0	0.000114923	0
Actinomyces	0.000930954	0.00059957	0.002473717	0.00202553	0.000100506	0.00006428	0.000142399	0.0001163	4.21E-05	0.00001156	2.77E-05	0.00001055	0.000106845	0.00009909	0.000402786	0.00025981	0.000101586	0.00004939	0.000115094	0.00003554	0.000192207	0.00029618	8.77E-05	0.00003635	8.45E-05	0.00009857	0.000130593	0.00010991	0.00045517	0.00034857	7.93E-05	0.00004691	0.000267668	0.00020809	0.000906656	0.00085006	6.94E-05	0.00004007	0.000726345	0.00056125	0.000316353	0.00022955	0.000142139	0.00004591	0.001023947	0.00034845	0.000882284	0.00073681	0.000214204	0.00012114	0.002207449	0.00176636	0.001447325	0.00115388	0.000603266	0.00053176	0.000833686	0.00084204	0.001134975	0.00062903	0.001822295	0.00159887	0.000229267	0.00015058	0.000867117	0.00049292	5.06E-05	0	8.05E-05	0.00008885	5.02E-05	0	3.70E-05	0	0.000577114	0.00087092	0.001690416	0.00104732	0.000793421	0.00018543	0.016422456	0.02351391
Aerococcus	6.21E-05	0	2.69E-05	0	8.04E-06	0	2.99E-05	0	1.68E-05	0	1.20E-05	0	3.56E-05	0	8.23E-05	0	4.06E-05	0	1.77E-05	0	0	0	8.77E-05	0	1.69E-05	0	2.18E-05	0	9.58E-05	0	2.64E-05	0	2.59E-05	0	3.33E-05	0	3.08E-05	0	0.000118242	0.00004854	2.57E-05	0	3.55E-05	0.00001841	1.72E-05	0	1.73E-05	0	5.14E-05	0	8.56E-06	0	8.46E-06	0	3.45E-05	0	1.28E-05	0	0	0	1.26E-05	0	0	0	2.51E-05	0	3.79E-05	0	0	0	2.51E-05	0	2.46E-05	0	0	0	2.50E-05	0.00016755	0	0	3.45E-05	0
Aeromonas	1.55E-05	0	4.03E-05	0	0	0	2.30E-06	0	0	0	4.82E-06	0	4.45E-06	0	8.66E-06	0	3.69E-06	0	1.33E-05	0	0	0	8.77E-06	0	4.22E-06	0	8.71E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	8.55E-06	0	0	0	8.60E-06	0	8.65E-06	0	0	0.00000409	0	0	8.46E-06	0	8.62E-06	0	0	0	0	0	0	0	1.27E-05	0	0	0	0	0	0	0	0	0	0	0	0.000138005	0.00001052	0	0	0	0	1.15E-05	0
Aggregatibacter	0	0	0	0	4.02E-06	0	4.59E-06	0	8.42E-06	0	1.69E-05	0	0	0	1.30E-05	0	3.51E-05	0.00002582	2.66E-05	0.00001849	8.94E-06	0	2.19E-05	0.00001259	0	0	8.71E-06	0	1.60E-05	0	7.93E-05	0.00002453	2.59E-05	0.00002711	0.000141405	0.00016847	2.31E-05	0	1.69E-05	0	8.55E-06	0	1.78E-05	0	8.60E-06	0	0	0	8.57E-06	0	0.000119784	0.00004898	0	0	0.000137889	0.00009418	0	0	1.25E-05	0	1.26E-05	0	3.82E-05	0.00003909	3.77E-05	0	2.53E-05	0	0	0	0	0	4.93E-05	0	0	0	0	0	0	0	1.15E-05	0
Akkermansia	0	0	0.000147885	0	0.000800029	0.00110539	0.001959132	0.00261134	0.000201994	0.00021111	6.26E-05	0.0000606	0.047595092	0.06584182	0.022517021	0.0290503	0.006244782	0.00876977	0.000101814	0	8.05E-05	0	0.000188458	0.00015304	0.000460273	0.00000558	0.035159889	0.04946873	0.00661194	0.00861298	0.062763313	0.08688558	0.027595735	0.04399309	0.008592437	0.0124431	6.17E-05	0	3.38E-05	0	0.008259375	0.01135816	0.016035037	0.0213806	0.008716453	0.01073193	0.031520037	0.01896788	0.004035609	0.0055037	9.41E-05	0	0.023487291	0.03012273	0.002456155	0.00312771	0.000500212	0.00070907	1.25E-05	0	0.000628378	0.00077418	0.00021653	0.00023757	0.00599442	0.00825079	0.001099762	0.00162419	4.02E-05	0	3.76E-05	0	3.70E-05	0	0	0	0	0	0	0	0.0001494	0.00014312
Alicyclobacillus	3.10E-05	0	1.34E-05	0	8.04E-06	0	2.30E-06	0	8.42E-06	0	8.43E-06	0	1.34E-05	0.00002965	0	0	1.66E-05	0	1.33E-05	0	0	0	4.38E-06	0	0	0	4.35E-06	0	3.19E-05	0	4.41E-05	0	0	0	1.66E-05	0	0	0	1.69E-05	0	0	0	2.67E-05	0	0	0	3.46E-05	0	8.57E-06	0	0	0	5.08E-05	0	0	0	0	0	2.49E-05	0	0	0	2.55E-05	0	2.51E-05	0	0	0	0	0	2.51E-05	0	1.23E-05	0	0	0	0	0	1.26E-05	0	0	0
Aliivibrio	0	0	0	0	0	0	0	0	8.42E-06	0	3.61E-06	0	4.45E-06	0	1.73E-05	0	9.24E-06	0	0	0	1.79E-05	0	0	0.00000321	4.22E-06	0	4.35E-06	0	1.60E-05	0.0000058	8.81E-06	0	0	0	0	0.00000614	1.54E-05	0	0	0	0	0	8.88E-06	0	0	0	0	0	0	0	0	0	2.54E-05	0.00000302	8.62E-06	0	0	0	0	0	0	0	0	0	1.26E-05	0	0	0	0	0	0	0	0	0	1.25E-05	0	0	0	2.52E-05	0	1.15E-05	0
Alistipes	0.000170675	0	4.03E-05	0.00003092	0.00736107	0.00223037	0.0041043	0.00591334	0.027875151	0.03436218	0.011027428	0.01559203	0.0291821	0.03772014	0.045358869	0.05041118	0.012761077	0.01668616	0.00328461	0.00224233	0.005135953	0.00430455	0.011772028	0.00801599	0.008542497	0.00802594	0.0867048	0.091233	0.032221228	0.04145737	0.015794391	0.01719325	0.026283297	0.04099822	0.018199664	0.02768956	0.010060905	0.00655912	0.00554894	0.00965015	0.032609997	0.04890117	0.015777411	0.01989851	0.019489403	0.03855485	0.045074345	0.03994006	0.058229301	0.07203981	0.001394629	0.00115815	0.007676747	0.01138535	0.018916706	0.02187094	0.010183796	0.01443686	0.010963107	0.01615348	0.007879854	0.00821703	0.006878017	0.00842787	0.007917159	0.00936411	0.020099105	0.02839335	0.000764444	0.00172788	0.006863754	0.00796483	0.000480473	0.00087713	0.000150551	0.00026766	0	0	0	0	0.000229845	0.00048706
Alkaliphilus	0.00034135	0.00005209	0.000376435	0	0.000152769	0.00000286	5.51E-05	0	0.000168328	0	0.000101191	0.00000136	0.000267113	0.00003726	0.000311834	0.00000578	0.000221643	0.00001013	0.00040283	0.00001157	7.60E-05	0	7.01E-05	0	9.71E-05	0	0.000208948	0.00000946	0.000207621	0	0.000167463	0	0.000129517	0	0.000224585	0.00000891	0.000185028	0.00001647	0.000194255	0.00000359	0.000256502	0	0.000195441	0.00001773	0.000172092	0	0.000198946	0.00002443	0.000231341	0	0.000196788	0	0.000270844	0.00006842	0.000215452	0	0.000192389	0	0.000548779	0.00000857	8.80E-05	0	0.000229267	0	0.000578078	0	0.000214896	0	5.36E-05	0	0.000138028	0	0.000283356	0	8.78E-05	0	8.77E-05	0	0	0	6.90E-05	0
Aminobacterium	1.55E-05	0	0	0	2.41E-05	0	4.59E-06	0	1.68E-05	0	1.08E-05	0.00000429	2.23E-05	0	2.60E-05	0	1.48E-05	0	3.54E-05	0	2.23E-05	0	1.75E-05	0	1.27E-05	0	3.48E-05	0	2.40E-05	0	3.53E-05	0	8.63E-06	0	2.50E-05	0	2.31E-05	0	3.38E-05	0	8.55E-06	0	0	0	1.72E-05	0	1.73E-05	0	2.57E-05	0	0	0	3.39E-05	0	0	0	1.28E-05	0	3.74E-05	0	1.26E-05	0	3.82E-05	0	0	0	1.26E-05	0	0	0	2.51E-05	0	1.23E-05	0	0	0	0	0	0	0	1.15E-05	0
Ammonifex	1.55E-05	0	0	0	8.04E-06	0	0	0	0	0	4.82E-06	0	8.90E-06	0	8.66E-06	0	1.48E-05	0	3.54E-05	0	8.94E-06	0	0	0	4.22E-06	0	8.71E-06	0	0	0	2.64E-05	0	1.73E-05	0	8.32E-06	0	2.31E-05	0	0	0	0	0	8.88E-06	0	1.72E-05	0	0	0	1.71E-05	0	9.41E-05	0	0	0.00002573	0	0	0	0	0	0	0	0	0	0	1.26E-05	0	1.26E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus	0.000170675	0	0.000161329	0.00012519	0.000120607	0.00001074	9.19E-05	0.00001597	0.000130454	0	8.79E-05	0.0000089	0.000271565	0.00005202	0.000203558	0	0.000129292	0.00001052	0.000398403	0	2.68E-05	0.00002971	7.01E-05	0	0.000130903	0	8.27E-05	0.00001563	0.000127767	0.00001225	0.000176277	0.00004285	7.77E-05	0.00005683	0.000199631	0	0.000362347	0	0.000219593	0.00004057	0.000153901	0	0.000186557	0	0.000137673	0	0.000103798	0	0.000171363	0.00001027	7.70E-05	0.00001461	0.000160814	0	0.000103417	0	0.000102608	0.00004993	0.000449001	0	0.000163378	0	0.000140108	0	0.000464976	0.00001996	5.06E-05	0	5.36E-05	0	0.000150576	0	3.70E-05	0.0000485	6.27E-05	0	0.000175302	0.00026922	0.000151128	0.00020423	0.000126415	0.00007205
Anaerofustis	0.000170675	0	0.000551209	0.0001381	0.000116587	0.00005551	0.000149289	0.00014745	0.000130454	0.00007385	6.51E-05	0.00003533	0.000431833	0.0000653	0.000194896	0	0.000132986	0.00000871	0.000141654	0	5.81E-05	0	5.26E-05	0	6.76E-05	0	0.000174124	0	7.99E-05	0	0.000211532	0	6.91E-05	0	8.32E-05	0	0.000146481	0	0.000135134	0.00002325	0.000119701	0.00001213	0.000257627	0	0.000223719	0	9.51E-05	0.00003953	0.000334159	0.00002547	1.71E-05	0	0.000203133	0.00002398	0.000120653	0	0.000102608	0	8.73E-05	0	0.000138243	0.00003611	5.09E-05	0.00003957	0.000226205	0	0.000126409	0	1.34E-05	0	6.27E-05	0	4.93E-05	0	0	0	0	0	8.82E-05	0.00002796	5.75E-05	0
Anaeromyxobacter	0.000139643	0	5.38E-05	0	4.02E-06	0	1.61E-05	0	6.31E-05	0	1.08E-05	0.00000169	3.56E-05	0	8.66E-05	0	1.85E-05	0.00000063	5.31E-05	0	2.23E-05	0	5.26E-05	0	2.11E-05	0	6.09E-05	0	8.78E-05	0	8.81E-05	0	2.59E-05	0	6.65E-05	0	5.40E-05	0	8.45E-06	0	2.57E-05	0	7.11E-05	0	7.74E-05	0	3.46E-05	0	5.14E-05	0	0	0	0.000135422	0	7.76E-05	0	1.28E-05	0	8.73E-05	0	5.03E-05	0	2.55E-05	0	0.000213638	0	3.79E-05	0	0	0	2.51E-05	0	2.46E-05	0	0	0	0	0	3.78E-05	0	2.30E-05	0
Anaerostipes	0.000636152	0.00496182	0.002675378	0.04958098	0.000470369	0.01282593	0.001945351	0.00247337	0.000315615	0.0021567	0.000219248	0.00391387	0.000329439	0.00388322	0.000216551	0.00004649	0.000216102	0.000888	0.000230188	0.00083214	0.000518512	0.00081975	0.000205989	0.00066636	0.00021958	0.00165767	0.000330835	0.00180694	0.000487112	0.00190553	0.000308484	0.00157759	0.000241765	0.00218874	0.00060721	0.00343838	0.000539665	0.00808206	0.000405402	0.00171943	0.000837908	0.02073279	0.001092692	0.00853429	0.000481857	0.0004792	0.000198946	0.00022884	0.000411272	0.00439572	0.000231012	0.00193409	0.000490906	0.00146411	0.000232688	0.00049417	0.000384778	0.00045984	0.000548779	0.00109162	0.000238783	0.00033163	0.000318427	0.00025379	0.000565511	0.00464702	0.000341306	0.00261155	0.000254815	0.00836589	0.000326248	0.00177317	0.002180609	0.08422954	5.02E-05	0.00015136	3.76E-05	0.00016473	0.000277068	0.00049317	0.005470321	0.00433287
Anaerotruncus	0.001380915	0.00021478	0.001653626	0.00057256	0.002585018	0.00238015	0.001111629	0.00110223	0.001565452	0.00056448	0.000891446	0.00045403	0.003076252	0.00072407	0.002624604	0.00050842	0.00126521	0.00062525	0.002133669	0.00057018	0.001113013	0.00100182	0.001078153	0.00029164	0.001849537	0.00111811	0.003295287	0.00211454	0.002283834	0.00063571	0.002370921	0.00077411	0.001182921	0.00106756	0.001713497	0.00067345	0.002143243	0.00060033	0.001900322	0.0008995	0.000889208	0.00052295	0.002203152	0.00070485	0.004973455	0.00338248	0.002508455	0.00091583	0.001662225	0.0005566	0.0002139	0.00012634	0.003927244	0.00083951	0.002016633	0.0004429	0.000872164	0.00074907	0.003479758	0.00169769	0.001646349	0.00083542	0.002483728	0.00112824	0.008130796	0.0037657	0.002212166	0.00193953	0.00041575	0.0003897	0.003864783	0.0025836	0.001724775	0.0010957	3.76E-05	0	2.50E-05	0	0.000113346	0.00004007	0.000287307	0.00019006
Anoxybacillus	6.21E-05	0	1.34E-05	0	2.81E-05	0	0	0	0	0	6.02E-06	0	4.45E-06	0	3.03E-05	0	1.48E-05	0	3.98E-05	0.00002003	4.47E-06	0	8.77E-06	0	0	0	4.35E-06	0.00001038	1.60E-05	0	8.81E-06	0	0	0	8.32E-06	0	1.54E-05	0	8.45E-06	0	2.57E-05	0	4.44E-05	0	0	0	2.59E-05	0	0	0	0	0	0	0	8.62E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25E-05	0	1.23E-05	0	1.25E-05	0	0	0	0	0	1.15E-05	0
Atopobium	0.005616757	0.00142926	0.000268882	0.00020824	5.63E-05	0	7.12E-05	0.00002042	0.000105205	0.00001822	4.58E-05	0.00000571	0.000244854	0.00008716	0.000303172	0	9.97E-05	0.00001387	0.000239042	0.00002462	3.58E-05	0.00004581	7.01E-05	0.00001015	4.64E-05	0	0.000278598	0.00003731	0.000239563	0.00013615	0.000167463	0	6.91E-05	0.00004061	0.000108133	0.00003606	0.000223576	0	0.000236484	0.00003266	0.000128251	0.00003591	0.000195441	0.00001286	9.47E-05	0	0.000112448	0.000039	7.71E-05	0	0.00012834	0.00003581	0.000270844	0.00003549	0.00040505	0	3.85E-05	0	0.000199556	0.00004936	0.000125676	0.00005748	0.000101897	0	0.00032674	0.00010532	2.53E-05	0	0	0	3.76E-05	0.00003063	3.70E-05	0.0000959	2.51E-05	0	6.26E-05	0	0.000113346	0.00006896	4.60E-05	0.00009495
