	AM-AD-1	AM-AD-2	AM-F10-T1	AM-F10-T2	DA-AD-1	DA-AD-1T	DA-AD-2	DA-AD-3	DA-AD-3T	DA-AD-4	ES-AD-1	ES-AD-2	ES-AD-3	ES-AD-4	FR-AD-1	FR-AD-2	FR-AD-3	FR-AD-4	FR-AD-5	FR-AD-6	FR-AD-7	FR-AD-8	IT-AD-1	IT-AD-2	IT-AD-3	IT-AD-4	IT-AD-5	IT-AD-6	JP-AD-1	JP-AD-2	JP-AD-3	JP-AD-4	JP-AD-5	JP-AD-6	JP-AD-7	JP-AD-8	JP-AD-9	JP-IN-1	JP-IN-2	JP-IN-3	JP-IN-4
Allochromatium	1.55E-05	0	0	0	0	2.41E-06	4.45E-06	8.66E-06	5.54E-06	8.85E-06	4.47E-06	2.19E-05	4.22E-06	4.35E-06	7.99E-06	0	0	0	1.54E-05	8.45E-06	0	1.78E-05	0	1.73E-05	8.57E-06	8.56E-06	8.46E-06	0	0	1.25E-05	0	0	0	0	0	0	1.23E-05	0	0	0	1.15E-05
Alteromonas	0	1.34E-05	0	0	8.42E-06	0	0	8.66E-06	3.69E-06	4.43E-06	4.47E-06	4.38E-06	0	1.31E-05	0	1.76E-05	0	0	0	0	0	0	0	0	0	0	8.46E-06	0	0	1.25E-05	0	0	0	0	0	0	3.70E-05	0	0	0	0
Aminobacterium	1.55E-05	0	2.41E-05	4.59E-06	1.68E-05	1.08E-05	2.23E-05	2.60E-05	1.48E-05	3.54E-05	2.23E-05	1.75E-05	1.27E-05	3.48E-05	2.40E-05	3.53E-05	8.63E-06	2.50E-05	2.31E-05	3.38E-05	8.55E-06	0	1.72E-05	1.73E-05	2.57E-05	0	3.39E-05	0	1.28E-05	3.74E-05	1.26E-05	3.82E-05	0	1.26E-05	0	2.51E-05	1.23E-05	0	0	0	1.15E-05
Ammonifex	1.55E-05	0	8.04E-06	0	0	4.82E-06	8.90E-06	8.66E-06	1.48E-05	3.54E-05	8.94E-06	0	4.22E-06	8.71E-06	0	2.64E-05	1.73E-05	8.32E-06	2.31E-05	0	0	8.88E-06	1.72E-05	0	1.71E-05	9.41E-05	0	0	0	0	0	0	1.26E-05	1.26E-05	0	0	0	0	0	0	0
Amycolatopsis	3.10E-05	2.69E-05	8.04E-06	9.19E-06	0	2.41E-06	8.90E-06	0	1.85E-06	8.85E-06	8.94E-06	0	8.45E-06	1.31E-05	2.40E-05	8.81E-06	8.63E-06	1.66E-05	7.71E-06	0	2.57E-05	0	0	1.73E-05	0	8.56E-06	1.69E-05	0	2.57E-05	2.49E-05	1.26E-05	1.27E-05	1.26E-05	1.26E-05	0	0	1.23E-05	0	0	1.26E-05	0
Anabaena	0	0	4.02E-06	0	1.26E-05	1.20E-06	0	0	3.69E-06	1.77E-05	0	0	0	0	7.99E-06	0	0	8.32E-06	0	0	1.71E-05	0	8.60E-06	0	0	8.56E-06	0	0	0	0	0	0	0	2.53E-05	0	0	0	0	0	0	0
Anaerobaculum	1.55E-05	1.34E-05	0	2.30E-06	1.26E-05	7.23E-06	1.34E-05	1.30E-05	1.48E-05	1.77E-05	1.34E-05	4.38E-06	6.33E-05	4.35E-06	3.19E-05	1.76E-05	0	0	7.71E-06	8.45E-06	8.55E-06	1.78E-05	1.72E-05	1.73E-05	0	0	3.39E-05	2.59E-05	1.28E-05	0	0	1.27E-05	3.77E-05	0	1.34E-05	3.76E-05	1.23E-05	0	0	1.26E-05	0
Anaerococcus	0.000170675	0.000161329	0.000120607	9.19E-05	0.000130454	8.79E-05	0.000271565	0.000203558	0.000129292	0.000398403	2.68E-05	7.01E-05	0.000130903	8.27E-05	0.000127767	0.000176277	7.77E-05	0.000199631	0.000362347	0.000219593	0.000153901	0.000186557	0.000137673	0.000103798	0.000171363	7.70E-05	0.000160814	0.000103417	0.000102608	0.000449001	0.000163378	0.000140108	0.000464976	5.06E-05	5.36E-05	0.000150576	3.70E-05	6.27E-05	0.000175302	0.000151128	0.000126415
Anaerofustis	0.000170675	0.000551209	0.000116587	0.000149289	0.000130454	6.51E-05	0.000431833	0.000194896	0.000132986	0.000141654	5.81E-05	5.26E-05	6.76E-05	0.000174124	7.99E-05	0.000211532	6.91E-05	8.32E-05	0.000146481	0.000135134	0.000119701	0.000257627	0.000223719	9.51E-05	0.000334159	1.71E-05	0.000203133	0.000120653	0.000102608	8.73E-05	0.000138243	5.09E-05	0.000226205	0.000126409	1.34E-05	6.27E-05	4.93E-05	0	0	8.82E-05	5.75E-05
Anaerolinea	3.10E-05	0	2.81E-05	1.61E-05	4.21E-06	4.82E-06	4.01E-05	1.30E-05	2.77E-05	4.87E-05	0	4.38E-06	4.22E-06	1.31E-05	2.40E-05	0	2.59E-05	0	7.71E-06	8.45E-06	0	0	8.60E-06	5.19E-05	8.57E-06	2.57E-05	8.46E-06	1.72E-05	0	4.99E-05	2.51E-05	0	3.77E-05	0	0	0	0	0	0	0	0
Anaeromyxobacter	0.000139643	5.38E-05	4.02E-06	1.61E-05	6.31E-05	1.08E-05	3.56E-05	8.66E-05	1.85E-05	5.31E-05	2.23E-05	5.26E-05	2.11E-05	6.09E-05	8.78E-05	8.81E-05	2.59E-05	6.65E-05	5.40E-05	8.45E-06	2.57E-05	7.11E-05	7.74E-05	3.46E-05	5.14E-05	0	0.000135422	7.76E-05	1.28E-05	8.73E-05	5.03E-05	2.55E-05	0.000213638	3.79E-05	0	2.51E-05	2.46E-05	0	0	3.78E-05	2.30E-05
Anaerostipes	0.000636152	0.002675378	0.000470369	0.001945351	0.000315615	0.000219248	0.000329439	0.000216551	0.000216102	0.000230188	0.000518512	0.000205989	0.00021958	0.000330835	0.000487112	0.000308484	0.000241765	0.00060721	0.000539665	0.000405402	0.000837908	0.001092692	0.000481857	0.000198946	0.000411272	0.000231012	0.000490906	0.000232688	0.000384778	0.000548779	0.000238783	0.000318427	0.000565511	0.000341306	0.000254815	0.000326248	0.002180609	5.02E-05	3.76E-05	0.000277068	0.005470321
Anaerotruncus	0.001380915	0.001653626	0.002585018	0.001111629	0.001565452	0.000891446	0.003076252	0.002624604	0.00126521	0.002133669	0.001113013	0.001078153	0.001849537	0.003295287	0.002283834	0.002370921	0.001182921	0.001713497	0.002143243	0.001900322	0.000889208	0.002203152	0.004973455	0.002508455	0.001662225	0.0002139	0.003927244	0.002016633	0.000872164	0.003479758	0.001646349	0.002483728	0.008130796	0.002212166	0.00041575	0.003864783	0.001724775	3.76E-05	2.50E-05	0.000113346	0.000287307
Anaplasma	0	0	0	0	4.21E-06	1.20E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anoxybacillus	6.21E-05	1.34E-05	2.81E-05	0	0	6.02E-06	4.45E-06	3.03E-05	1.48E-05	3.98E-05	4.47E-06	8.77E-06	0	4.35E-06	1.60E-05	8.81E-06	0	8.32E-06	1.54E-05	8.45E-06	2.57E-05	4.44E-05	0	2.59E-05	0	0	0	8.62E-06	0	0	0	0	0	0	0	1.25E-05	1.23E-05	1.25E-05	0	0	1.15E-05
Aquifex	1.55E-05	0	4.02E-06	0	0	1.20E-06	8.90E-06	0	0	0	4.47E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.46E-06	0	0	0	0	1.27E-05	0	0	0	0	0	0	0	0	0
Arcanobacterium	0.000124127	0	4.02E-06	4.59E-06	2.10E-05	4.82E-06	1.34E-05	9.10E-05	9.24E-06	4.87E-05	4.47E-06	1.31E-05	8.45E-06	2.61E-05	7.19E-05	7.93E-05	2.59E-05	8.32E-06	3.08E-05	1.69E-05	8.55E-06	0	0	3.46E-05	2.57E-05	0	5.08E-05	2.59E-05	0	0	6.28E-05	3.82E-05	3.77E-05	0	0	3.76E-05	0	0	1.25E-05	3.78E-05	0
Archaeoglobus	0	0	0	0	4.21E-06	2.41E-06	1.34E-05	0	5.54E-06	4.43E-06	0	0	4.22E-06	8.71E-06	1.60E-05	1.76E-05	8.63E-06	1.66E-05	0	0	2.57E-05	0	8.60E-06	0	0	0	0	0	0	2.49E-05	0	0	2.51E-05	0	2.68E-05	0	0	0	0	0	1.15E-05
Arcobacter	1.55E-05	0	1.61E-05	0	2.10E-05	2.41E-05	2.23E-05	4.33E-06	1.48E-05	2.66E-05	4.47E-06	4.38E-06	1.27E-05	2.18E-05	7.99E-06	1.76E-05	0	0	7.71E-06	0	1.71E-05	0	8.60E-06	0	1.71E-05	8.56E-06	8.46E-06	2.59E-05	1.28E-05	0	1.26E-05	0	0	0	1.34E-05	3.76E-05	1.23E-05	0	0	0	1.15E-05
Aromatoleum	0	0	4.02E-06	2.30E-06	4.21E-06	1.20E-06	8.90E-06	4.33E-06	1.85E-06	0	4.47E-06	1.31E-05	0	0	0	1.76E-05	0	8.32E-06	0	0	0	0	0	8.65E-06	0	0	0	1.72E-05	0	2.49E-05	0	0	1.26E-05	0	0	0	0	0	0	0	0
Arthrobacter	3.10E-05	2.69E-05	2.41E-05	4.59E-06	1.26E-05	1.08E-05	1.34E-05	2.17E-05	2.03E-05	2.21E-05	8.94E-06	3.51E-05	0	1.31E-05	1.60E-05	3.53E-05	1.73E-05	2.50E-05	0	2.53E-05	1.71E-05	0	4.30E-05	8.65E-06	0	0	0	2.59E-05	0	1.25E-05	0	0	5.03E-05	0	0	1.25E-05	0	3.76E-05	2.50E-05	6.30E-05	2.30E-05
Arthrospira	0	1.34E-05	4.02E-06	2.30E-06	2.10E-05	1.93E-05	8.90E-06	0	3.69E-06	1.77E-05	1.34E-05	2.63E-05	1.69E-05	4.79E-05	7.99E-06	8.81E-06	1.73E-05	8.32E-06	1.54E-05	1.69E-05	0	0	0	0	8.57E-06	0	0	0	1.28E-05	0	2.51E-05	0	3.77E-05	0	0	1.25E-05	0	0	0	0	0
Asticcacaulis	1.55E-05	1.34E-05	0	2.30E-06	0	0	0	8.66E-06	0	8.85E-06	0	0	4.22E-06	4.35E-06	0	8.81E-06	8.63E-06	0	1.54E-05	0	0	0	0	8.65E-06	8.57E-06	8.56E-06	8.46E-06	1.72E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobium	0.005616757	0.000268882	5.63E-05	7.12E-05	0.000105205	4.58E-05	0.000244854	0.000303172	9.97E-05	0.000239042	3.58E-05	7.01E-05	4.64E-05	0.000278598	0.000239563	0.000167463	6.91E-05	0.000108133	0.000223576	0.000236484	0.000128251	0.000195441	9.47E-05	0.000112448	7.71E-05	0.00012834	0.000270844	0.00040505	3.85E-05	0.000199556	0.000125676	0.000101897	0.00032674	2.53E-05	0	3.76E-05	3.70E-05	2.51E-05	6.26E-05	0.000113346	4.60E-05
Aurantimonas	1.55E-05	2.69E-05	8.04E-06	6.89E-06	1.26E-05	7.23E-06	3.12E-05	1.30E-05	1.29E-05	8.85E-06	0	3.07E-05	4.22E-05	2.18E-05	0	1.76E-05	0	8.32E-06	1.54E-05	0	0	0	0	1.73E-05	0	0	8.46E-06	1.72E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
Azoarcus	0	0	0	0	0	0	4.45E-06	4.33E-06	1.85E-06	4.43E-06	0	0	0	0	0	1.76E-05	8.63E-06	0	0	0	1.71E-05	0	0	8.65E-06	0	0	0	0	0	0	3.77E-05	0	0	0	0	0	0	0	0	0	0
Azorhizobium	1.55E-05	2.69E-05	4.02E-06	0	1.68E-05	3.61E-06	8.90E-06	2.60E-05	0	1.33E-05	4.47E-06	8.77E-06	0	0	0	8.81E-06	8.63E-06	8.32E-06	2.31E-05	1.69E-05	8.55E-06	0	8.60E-06	4.32E-05	3.43E-05	0	1.69E-05	8.62E-06	1.28E-05	1.25E-05	0	1.27E-05	1.26E-05	1.26E-05	0	1.25E-05	1.23E-05	0	0	0	0
Azospirillum	0	0	4.02E-06	0	2.10E-05	3.61E-06	1.34E-05	8.66E-06	9.24E-06	2.66E-05	0	0	0	1.31E-05	2.40E-05	8.81E-06	8.63E-06	1.66E-05	0	8.45E-06	8.55E-06	8.88E-06	8.60E-06	0	0	8.56E-06	0	8.62E-06	0	2.49E-05	3.77E-05	0	0	0	0	0	0	0	0	0	0
Azotobacter	0	0	0	2.30E-06	1.68E-05	3.61E-06	0	0	1.85E-06	1.77E-05	0	8.77E-06	0	4.35E-06	0	8.81E-06	8.63E-06	0	7.71E-06	0	0	1.78E-05	0	8.65E-06	0	0	8.46E-06	0	0	3.74E-05	0	0	0	0	0	0	2.46E-05	1.25E-05	1.25E-05	0	0
Bacillus	0.001784329	0.001546073	0.001117628	0.00053055	0.001018386	0.000690268	0.002947147	0.000896523	0.00100478	0.002270896	0.000303955	0.00056099	0.000591176	0.00081838	0.000894369	0.001189868	0.00096706	0.001197784	0.001179554	0.001157085	0.00111151	0.001465807	0.000791623	0.000960133	0.000899658	0.000547584	0.001616603	0.000853191	0.000628471	0.001920726	0.000527837	0.000878858	0.001407495	0.000606765	0.000536452	0.000652496	0.000997906	0.00040147	0.000575994	0.000163722	0.00101132
Bacteroides	0.007432118	0.008805894	0.082945715	0.082735986	0.135697784	0.088088113	0.225073901	0.085672089	0.127599684	0.060331471	0.664804195	0.158777743	0.265218566	0.21939997	0.208132367	0.2099896	0.423373484	0.161559448	0.096684912	0.081046613	0.203662853	0.197288702	0.264427752	0.048542934	0.23870929	0.0836606	0.123098799	0.091093205	0.432631754	0.068547482	0.095337439	0.328489002	0.176829115	0.487940537	0.473821147	0.443734786	0.278304792	0.001731341	0.000187824	0.000730451	0.00667701
Bartonella	1.55E-05	0	4.02E-06	6.89E-06	8.42E-06	6.02E-06	0	4.33E-06	3.69E-06	1.77E-05	0	3.51E-05	8.45E-06	4.35E-06	0	0	0	0	0	8.45E-06	8.55E-06	0	8.60E-06	0	0	0	0	0	0	1.25E-05	0	0	0	1.26E-05	0	1.25E-05	0	0	0	0	0
Basfia	0	0	0	2.30E-06	0	2.41E-06	0	0	0	0	4.47E-06	4.38E-06	4.22E-06	0	0	0	0	0	0	0	0	0	0	0	8.57E-06	1.71E-05	0	0	0	0	0	0	0	0	0	0	0	2.51E-05	0	1.26E-05	3.45E-05
Bdellovibrio	0	0	0	0	4.21E-06	9.64E-06	8.90E-06	1.30E-05	3.69E-06	0	0	0	1.69E-05	0	0	8.81E-06	0	1.66E-05	0	8.45E-06	0	0	0	8.65E-06	0	0	8.46E-06	0	0	0	0	0	0	0	1.34E-05	0	0	0	0	0	0
Beggiatoa	0	0	4.02E-06	0	0	0	8.90E-06	0	0	0	0	0	0	0	7.99E-06	0	0	0	0	0	0	0	0	0	0	0	1.69E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beijerinckia	0	0	0	0	8.42E-06	2.41E-06	0	0	0	4.43E-06	8.94E-06	4.38E-06	0	1.31E-05	0	0	0	0	0	8.45E-06	0	8.88E-06	0	0	0	0	0	0	0	0	1.26E-05	0	0	0	0	0	0	0	0	0	0
Bermanella	0	0	4.02E-06	0	1.68E-05	3.61E-06	0	0	0	0	0	2.19E-05	0	0	0	0	8.63E-06	0	0	0	0	0	8.60E-06	0	0	0	0	0	0	1.25E-05	0	0	0	0	0	0	0	0	0	0	0
Beutenbergia	1.55E-05	0	1.21E-05	2.30E-06	1.26E-05	6.02E-06	1.78E-05	1.73E-05	1.11E-05	2.66E-05	8.94E-06	0	0	8.71E-06	3.19E-05	1.76E-05	0	1.66E-05	0	8.45E-06	8.55E-06	1.78E-05	1.72E-05	0	1.71E-05	0	4.23E-05	8.62E-06	0	0	0	0	0	0	0	0	0	0	1.25E-05	1.26E-05	1.15E-05
Bifidobacterium	0.137129558	0.012892904	0.037167174	0.137653682	0.000555483	0.000267434	0.010746848	0.019411673	0.003368969	0.003426264	0.014437884	0.006731882	0.002111344	0.010068692	0.034808509	0.01735444	0.003496956	0.014947347	0.075892375	0.00565029	0.000632706	0.002638452	0.04113856	0.059986679	0.038616754	0.02622415	0.028870325	0.040401603	0.012377031	0.030469705	0.029219555	0.071646011	0.057682157	0.033422663	0.008006545	0.026375888	0.009239867	0.000163097	0.860634595	0.657859275	0.073642475
Bilophila	0	0	2.41E-05	0.000656872	0.001094133	0.00031562	0.000934896	0.001416247	0.000302912	0.000548911	0.003786033	0.000175309	0.005903317	0.004440149	0.004176382	0.003225863	0.001692354	0.001871538	0.00030838	0.000109796	0.005335249	0.001536876	0.01024807	0.002742001	0.00356436	0.00017112	0.002124436	0.000698065	0.014300922	0.001733643	0.017607138	0.015857651	0.004612059	0.006927239	0.006075318	0.002258639	0.004804731	1.25E-05	0	0	0.000114923
Blastopirellula	0	5.38E-05	0	2.30E-06	1.26E-05	1.20E-06	8.90E-06	3.03E-05	1.85E-05	2.66E-05	0	4.38E-06	0	1.74E-05	0	1.76E-05	8.63E-06	8.32E-06	7.71E-06	0	1.71E-05	0	0	4.32E-05	3.43E-05	0	0	8.62E-06	1.28E-05	1.25E-05	0	0	0	0	1.34E-05	0	0	0	0	0	0
Blautia	0.004608223	0.011494716	0.001981981	0.005080421	0.001009969	0.000995046	0.00446524	0.001611143	0.001394502	0.001828226	0.003133423	0.000670559	0.001385042	0.001950183	0.001740825	0.001489538	0.001165652	0.002536973	0.001888829	0.001376678	0.002299971	0.004139794	0.002082312	0.001185029	0.001884998	0.00072726	0.001599675	0.001266859	0.000897816	0.002681534	0.001005404	0.001655819	0.004134516	0.001112403	0.002118985	0.001292444	0.002402365	0.000138005	0	0.002355075	0.000735505
Bordetella	0	0	0	2.30E-06	3.37E-05	7.23E-06	1.34E-05	1.30E-05	1.29E-05	8.85E-06	3.13E-05	1.31E-05	1.69E-05	2.18E-05	3.19E-05	8.81E-06	1.73E-05	8.32E-06	1.54E-05	8.45E-06	2.57E-05	8.88E-06	8.60E-06	0	8.57E-06	8.56E-06	0	1.72E-05	1.28E-05	0	2.51E-05	5.09E-05	3.77E-05	0	0	2.51E-05	2.46E-05	0	0	0	0.00010343
Borrelia	0	0	0	0	0	1.20E-06	8.90E-06	0	1.29E-05	4.43E-06	0	8.77E-06	0	0	0	1.76E-05	8.63E-06	0	3.08E-05	0	0	8.88E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachybacterium	0	0	0	6.89E-06	0	0	1.34E-05	2.60E-05	7.39E-06	8.85E-06	0	0	0	4.35E-06	0	8.81E-06	0	2.50E-05	0	1.69E-05	8.55E-06	0	0	3.46E-05	0	0	1.69E-05	8.62E-06	0	2.49E-05	1.26E-05	0	0	0	0	1.25E-05	1.23E-05	0	0.000100173	0.000176316	0
Brachyspira	0.000108611	6.72E-05	5.23E-05	3.67E-05	8.42E-05	3.98E-05	0.000115749	7.36E-05	7.57E-05	9.74E-05	2.23E-05	6.57E-05	2.96E-05	3.05E-05	8.78E-05	0.000105766	8.63E-05	9.15E-05	0.000146481	0.000785466	2.57E-05	0.000115488	2.58E-05	3.46E-05	7.71E-05	4.28E-05	0.000126958	3.45E-05	6.41E-05	9.98E-05	7.54E-05	1.27E-05	2.51E-05	5.06E-05	0.000174347	0.001041484	6.16E-05	2.51E-05	0	2.52E-05	0
Bradyrhizobium	1.55E-05	1.34E-05	1.61E-05	0	1.68E-05	7.23E-06	2.23E-05	2.60E-05	7.39E-06	2.66E-05	0	1.31E-05	4.22E-06	1.31E-05	2.40E-05	6.17E-05	1.73E-05	1.66E-05	0	1.69E-05	0	3.55E-05	2.58E-05	5.19E-05	0	8.56E-06	1.69E-05	2.59E-05	5.13E-05	2.49E-05	0.000138243	0	5.03E-05	0	6.71E-05	5.02E-05	0	3.76E-05	0	0	4.60E-05
Brevibacillus	6.21E-05	1.34E-05	1.21E-05	2.30E-06	1.26E-05	2.05E-05	4.01E-05	5.20E-05	2.59E-05	5.31E-05	1.79E-05	2.63E-05	8.45E-06	4.35E-05	3.99E-05	2.64E-05	1.73E-05	2.50E-05	5.40E-05	3.38E-05	1.71E-05	0	1.72E-05	3.46E-05	2.57E-05	8.56E-06	5.92E-05	5.17E-05	1.28E-05	3.74E-05	6.28E-05	2.55E-05	0.000100535	1.26E-05	0	3.76E-05	1.23E-05	0	1.25E-05	1.26E-05	1.15E-05
Brevibacterium	0	0	4.02E-06	4.59E-06	4.21E-06	1.20E-06	4.45E-06	8.66E-06	5.54E-06	0	0	4.38E-06	0	0	1.60E-05	7.05E-05	0	1.66E-05	1.54E-05	0	0	8.88E-06	0	0	0	8.56E-06	8.46E-06	3.45E-05	0	1.25E-05	2.51E-05	0	1.26E-05	0	1.34E-05	0	1.23E-05	0	1.25E-05	0.00031485	0
Brevundimonas	0	0	0	2.30E-06	4.21E-06	3.61E-06	1.34E-05	8.66E-06	3.69E-06	8.85E-06	0	4.38E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34E-05	2.51E-05	1.23E-05	1.25E-05	0	0	6.90E-05
Brucella	1.55E-05	0	4.02E-06	0	1.26E-05	6.02E-06	1.34E-05	4.33E-06	3.69E-06	4.43E-06	0	4.38E-06	0	1.31E-05	0	8.81E-06	1.73E-05	0	0	0	8.55E-06	8.88E-06	0	0	0	0	8.46E-06	0	0	0	0	1.27E-05	0	0	0	1.25E-05	0	1.25E-05	0	0	0
Buchnera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-05	0	0	0	0	0	0	0	0
Bulleidia	0.000170675	0.000107553	6.43E-05	2.76E-05	2.95E-05	1.57E-05	4.90E-05	6.50E-05	5.17E-05	5.75E-05	0	3.07E-05	4.64E-05	6.53E-05	1.60E-05	7.05E-05	3.45E-05	7.49E-05	6.17E-05	2.53E-05	5.13E-05	5.33E-05	4.30E-05	5.19E-05	0.000102818	8.56E-05	8.46E-06	6.03E-05	2.57E-05	6.24E-05	1.26E-05	0	8.80E-05	1.26E-05	0	2.51E-05	3.70E-05	0	0	0	0
Burkholderia	0.000294802	0.000255438	3.62E-05	4.59E-05	0.000231451	9.64E-05	0.000204787	0.000298841	7.39E-05	0.000256749	0.000143038	0.000166544	0.000114013	0.000191536	0.000183665	0.000193904	0.000120882	0.000166359	0.000138771	0.00014358	0.000136801	0.000124371	0.000283952	0.000337344	0.000231341	0.000111228	0.000253917	0.000146508	0.000102608	0.000274389	0.000238783	0.000267478	0.00032674	0.000113769	0.000120702	0.000150576	8.62E-05	0.001794071	0.000187824	5.04E-05	0.000367753
Butyrivibrio	0.003413499	0.002285499	0.001025163	0.000711994	0.027887776	0.035189227	0.001246528	0.002867141	0.004724683	0.010030898	0.000245846	0.000915992	0.000582731	0.001802178	0.001509247	0.001498352	0.002158615	0.038478814	0.026181482	0.010354642	0.002650524	0.00207878	0.001901615	0.001418575	0.006340448	0.00077004	0.003994956	0.008454346	0.001013249	0.00222006	0.001080809	0.001337392	0.003003494	0.001036558	0.001314307	0.000916004	0.002993717	1.25E-05	0	0.000151128	0.000344768
Caldanaerobacter	1.55E-05	2.69E-05	2.01E-05	6.89E-06	8.42E-06	8.43E-06	6.68E-05	2.60E-05	3.88E-05	4.87E-05	8.94E-06	3.07E-05	0	3.48E-05	1.60E-05	2.64E-05	8.63E-06	3.33E-05	1.54E-05	8.45E-06	0	0	2.58E-05	6.05E-05	8.57E-06	0	3.39E-05	1.72E-05	1.28E-05	3.74E-05	0	1.27E-05	5.03E-05	1.26E-05	0	1.25E-05	1.23E-05	0	0	0	0
Caldicellulosiruptor	0.000387898	0.000376435	0.000124628	7.81E-05	0.000151495	0.000143354	0.000467448	0.000606344	0.000271512	0.000261175	4.02E-05	0.000162161	7.18E-05	0.000174124	0.000167694	0.000352553	0.000103614	0.00028281	0.000439442	0.000185809	0.000265052	0.000204325	0.000120464	0.000337344	0.000257045	0.000136896	0.000363947	0.000310251	8.98E-05	0.00049889	0.000113108	0.000254741	0.000138236	0.000164332	0	0.00018822	3.70E-05	0.000100368	0	2.52E-05	0.000137907
Calditerrivibrio	1.55E-05	0	0	2.30E-06	0	4.82E-06	4.45E-06	4.33E-06	1.11E-05	8.85E-06	0	3.07E-05	0	4.35E-06	0	1.76E-05	0	8.32E-06	7.71E-06	0	0	8.88E-06	0	0	0	0	0	0	0	0	0	0	0	0	1.34E-05	0	0	0	0	0	0
Caldivirga	0	0	0	0	0	0	0	0	3.69E-06	8.85E-06	4.47E-06	0	4.22E-06	0	0	0	0	0	0	0	0	8.88E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caminibacter	0	0	0	2.30E-06	0	2.41E-06	4.45E-06	0	0	0	0	0	0	0	0	8.81E-06	0	0	1.54E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-05	0	0	0	0	1.25E-05	0	0	0
Campylobacter	0.000201707	5.38E-05	0.00033368	0.000153883	3.79E-05	4.70E-05	0.000106845	7.80E-05	9.60E-05	0.000110667	2.23E-05	0.000157778	9.71E-05	0.000156711	2.40E-05	0.000185091	0.000112248	9.98E-05	5.40E-05	9.29E-05	0.000128251	8.00E-05	1.72E-05	0	3.43E-05	3.42E-05	0.000135422	6.89E-05	1.28E-05	4.99E-05	3.77E-05	5.09E-05	7.54E-05	1.26E-05	0.000147524	3.76E-05	2.46E-05	1.25E-05	0	0	0.000137907
Candidatus Accumulibacter	1.55E-05	0	8.04E-06	0	1.26E-05	6.02E-06	0	5.63E-05	1.29E-05	2.21E-05	4.47E-06	8.77E-06	0	4.35E-06	0	3.53E-05	0	0	0	0	0	0	0	2.59E-05	8.57E-06	0	0	1.72E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Amoebophilus	0	0	4.02E-06	0	0	4.82E-06	1.78E-05	8.66E-06	1.29E-05	1.77E-05	0	4.38E-06	8.45E-06	0	7.99E-06	1.76E-05	0	8.32E-06	7.71E-06	0	8.55E-06	0	0	0	0	8.56E-06	4.23E-05	0	0	0	0	2.55E-05	7.54E-05	2.53E-05	0	1.25E-05	0	0	0	0	0
Candidatus Azobacteroides	0	0	0	0	0	2.41E-06	8.90E-06	8.66E-06	2.40E-05	8.85E-06	8.94E-06	1.31E-05	8.45E-06	8.71E-06	7.99E-06	8.81E-06	1.73E-05	3.33E-05	7.71E-06	8.45E-06	8.55E-06	0	8.60E-06	2.59E-05	0	8.56E-06	1.69E-05	5.17E-05	0	1.25E-05	0	0	0	0	0	1.25E-05	0	0	0	0	0
Candidatus Blochmannia	0	0	0	0	0	0	0	0	1.85E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Carsonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Cloacamonas	0	0	4.02E-06	0	1.26E-05	7.23E-06	1.34E-05	4.76E-05	1.85E-05	4.43E-05	4.47E-06	1.31E-05	2.96E-05	3.05E-05	0	3.53E-05	8.63E-06	1.66E-05	2.31E-05	3.38E-05	8.55E-06	8.88E-06	0	8.65E-06	0	0	3.39E-05	2.59E-05	0	0	5.03E-05	0	0	0	0	0	0	0	0	0	0
Candidatus Desulforudis	3.10E-05	0	2.01E-05	1.15E-05	4.21E-06	9.64E-06	0	1.73E-05	7.39E-06	8.85E-06	1.79E-05	3.07E-05	4.22E-06	1.31E-05	3.99E-05	1.76E-05	8.63E-06	1.66E-05	3.85E-05	8.45E-06	0	8.88E-06	8.60E-06	8.65E-06	0	0	1.69E-05	4.31E-05	1.28E-05	1.25E-05	0	7.64E-05	1.26E-05	0	0	0	0	0	0	0	1.15E-05
